File,code,PrevDH,Lag,Seg_Start,Seg_End,Word,Word_Start,Word_End,PrevWord,Pre_Seg,Pre_Seg_Start,Pre_Seg_End,Post_Seg,Post_Seg_Start,Post_Seg_End,Window,Vowels_per_Second,gender,birthyear,age,obs,prev
PH00-1-1,1,1,7.451,1318.258,1318.318,THAT'S,1318.258,1318.468,THERE,M,1318.207,1318.258,AE,1318.318,1318.378,1.221,6.552,m,1979,21,1,1
PH00-1-1,1,1,6.814,1325.093,1325.143,THERE,1325.093,1325.282,THAT'S,L,1325.032,1325.093,EH,1325.143,1325.223,1.415,4.24,m,1979,21,1,1
PH00-1-1,2,1,0.756,1325.928,1325.968,THEN,1325.928,1326.038,THERE,sp,1325.292,1325.928,EH,1325.968,1326.008,1.225,4.082,m,1979,21,1,1
PH00-1-1,1,0,31.485,1357.462,1357.493,THEY,1357.462,1357.523,THEN,CH,1357.393,1357.462,EY,1357.493,1357.523,1.48,6.757,m,1979,21,1,0
PH00-1-1,0,1,1.475,1358.718,1358.888,THAT,1358.718,1358.998,THEY,IY,1358.588,1358.718,AE,1358.888,1358.968,1.154,4.333,m,1979,21,0,1
PH00-1-1,1,0,4.609,1363.478,1363.508,THAN,1363.478,1363.607,THAT,ER,1363.448,1363.478,AH,1363.508,1363.538,1.29,7.752,m,1979,21,1,0
PH00-1-1,1,1,4.206,1367.753,1367.783,THE,1367.753,1367.813,THAN,N,1367.723,1367.753,AH,1367.783,1367.813,1.08,7.407,m,1979,21,1,1
PH00-1-1,0,1,2.965,1370.708,1370.748,THE,1370.708,1370.778,THE,K,1370.628,1370.708,AH,1370.748,1370.778,1.099,6.369,m,1979,21,0,1
PH00-1-1,1,9,11.48,1382.148,1382.188,THAN,1382.148,1382.258,THE,sp,1382.058,1382.148,AH,1382.188,1382.218,2.625,2.286,m,1979,21,1,0
PH00-1-1,1,9,6.27,1388.408,1388.447,THE,1388.408,1388.528,THAN,Z,1388.298,1388.408,AH,1388.447,1388.528,2.411,3.318,m,1979,21,1,0
PH00-1-1,0,1,1.86,1390.188,1390.268,THAT'LL,1390.188,1390.388,THE,sp,1389.088,1390.188,AE,1390.268,1390.298,2.52,3.571,m,1979,21,0,1
PH00-1-1,1,0,5.69,1396.018,1396.048,THE,1396.018,1396.078,THAT'LL,F,1395.988,1396.018,AH,1396.048,1396.078,0.92,8.696,m,1979,21,1,0
PH00-1-1,1,1,10.31,1406.328,1406.358,THE,1406.328,1406.388,THE,L,1406.298,1406.328,AH,1406.358,1406.388,0.75,8,m,1979,21,1,1
PH00-1-1,1,1,1.17,1407.378,1407.418,THE,1407.378,1407.558,THE,AH,1407.298,1407.378,AH,1407.418,1407.558,1.11,6.306,m,1979,21,1,1
PH00-1-1,1,1,11.481,1418.959,1419.009,THE,1418.959,1419.039,THE,AY,1418.888,1418.959,IY,1419.009,1419.039,1.01,5.941,m,1979,21,1,1
PH00-1-1,1,1,0.26,1419.229,1419.259,THE,1419.229,1419.299,THE,V,1419.199,1419.229,IY,1419.259,1419.299,1.09,7.339,m,1979,21,1,1
PH00-1-1,1,1,0.39,1419.599,1419.629,THE,1419.599,1419.689,THE,M,1419.549,1419.599,AH,1419.629,1419.689,1.08,6.481,m,1979,21,1,1
PH00-1-1,1,1,3.009,1422.558,1422.648,THEY,1422.558,1422.698,THE,OW,1422.458,1422.558,EY,1422.648,1422.698,1.499,4.003,m,1979,21,1,1
PH00-1-1,0,1,1.54,1424.138,1424.208,THE,1424.138,1424.238,THEY,sp,1424.047,1424.138,AH,1424.208,1424.238,1.87,3.743,m,1979,21,0,1
PH00-1-1,0,0,2.173,1426.321,1426.35,THERE,1426.321,1426.411,THE,sp,1425.168,1426.321,EH,1426.35,1426.381,2.512,3.185,m,1979,21,0,0
PH00-1-1,1,0,8.022,1434.333,1434.363,THEY'RE,1434.333,1434.433,THERE,ER,1434.303,1434.333,EH,1434.363,1434.403,1.24,8.871,m,1979,21,1,0
PH00-1-1,1,1,1.86,1436.222,1436.252,THE,1436.222,1436.293,THEY'RE,L,1436.173,1436.222,AH,1436.252,1436.293,0.959,8.342,m,1979,21,1,1
PH00-1-1,1,1,3.07,1439.273,1439.303,THEM,1439.273,1439.363,THE,K,1439.242,1439.273,AH,1439.303,1439.333,0.96,7.292,m,1979,21,1,1
PH00-1-1,1,1,3.779,1442.993,1443.022,THERE,1442.993,1443.142,THEM,IY,1442.932,1442.993,EH,1443.022,1443.113,2.91,3.436,m,1979,21,1,1
PH00-1-1,1,1,4.741,1447.733,1447.773,THOSE,1447.733,1447.883,THERE,IY,1447.623,1447.733,OW,1447.773,1447.803,1.48,8.108,m,1979,21,1,1
PH00-1-1,1,9,6.11,1453.913,1453.943,THEY,1453.913,1453.993,THOSE,Z,1453.873,1453.913,EY,1453.943,1453.993,1.19,5.882,m,1979,21,1,0
PH00-1-1,1,1,73.484,1527.338,1527.367,THE,1527.338,1527.477,THEY,N,1527.308,1527.338,IY,1527.367,1527.477,0.95,6.316,m,1979,21,1,1
PH00-1-1,1,1,2.201,1529.618,1529.648,THE,1529.618,1529.678,THE,N,1529.588,1529.618,AH,1529.648,1529.678,0.93,9.677,m,1979,21,1,1
PH00-1-1,1,0,24.205,1553.813,1553.843,THE,1553.813,1553.883,THE,Z,1553.743,1553.813,AH,1553.843,1553.883,0.82,6.098,m,1979,21,1,0
PH00-1-1,1,1,39.004,1592.828,1592.857,THE,1592.828,1592.887,THE,N,1592.798,1592.828,AH,1592.857,1592.887,1.209,9.098,m,1979,21,1,1
PH00-1-1,0,1,17.136,1609.853,1609.912,THAT,1609.853,1610.023,THE,sp,1609.563,1609.853,AE,1609.912,1609.993,1.61,3.727,m,1979,21,0,1
PH00-1-1,1,0,11.305,1621.268,1621.298,THE,1621.268,1621.328,THAT,S,1621.178,1621.268,AH,1621.298,1621.328,1.931,4.661,m,1979,21,1,0
PH00-1-1,1,1,4.424,1625.693,1625.723,THE,1625.693,1625.752,THE,OW,1625.523,1625.693,AH,1625.723,1625.752,1.419,6.342,m,1979,21,1,1
PH00-1-1,2,1,1.131,1626.682,1626.733,THE,1626.682,1626.883,THE,K,1626.613,1626.682,AH,1626.733,1626.883,2.511,3.982,m,1979,21,1,1
PH00-1-1,1,2,5.16,1631.963,1632.013,THE,1631.963,1632.043,THE,V,1631.913,1631.963,AH,1632.013,1632.043,1.681,4.759,m,1979,21,1,1
PH00-1-1,1,9,4.34,1636.253,1636.292,THAT,1636.253,1636.383,THE,ER,1636.213,1636.253,AE,1636.292,1636.343,1.081,6.475,m,1979,21,1,0
PH00-1-1,2,1,0.68,1636.962,1637.033,THEY,1636.962,1637.063,THAT,sp,1636.893,1636.962,EY,1637.033,1637.063,1.12,6.25,m,1979,21,1,1
PH00-1-1,1,2,2.54,1639.382,1639.413,THAT'S,1639.382,1639.603,THEY,S,1639.352,1639.382,AE,1639.413,1639.462,1.46,6.164,m,1979,21,1,1
PH00-1-1,0,1,1.31,1640.743,1640.783,((THAT'S)),1640.743,1640.913,THAT'S,sp,1640.123,1640.743,AE,1640.783,1640.813,1.669,2.397,m,1979,21,0,1
PH00-1-1,1,0,1.82,1642.673,1642.703,THE,1642.673,1642.733,((THAT'S)),V,1642.643,1642.673,AH,1642.703,1642.733,1.949,4.105,m,1979,21,1,0
PH00-1-1,1,1,5.52,1648.113,1648.223,THE,1648.113,1648.253,THE,N,1648.083,1648.113,AH,1648.223,1648.253,2.19,2.283,m,1979,21,1,1
